Rank,Name,Country/Region,Overall,Research Quality,Industry Income,International Outlook,Research Environment,Teaching
84,"University of California, Santa Barbara",United States,55.0,81.3,70.7,67.9,42.2,53.3
=85,Politecnico di Milano,Italy,54.8,62.4,84.4,78.2,47.6,51.9
=85,University of Bristol,United Kingdom,54.8,80.3,64.6,69.9,48.1,47.4
87,University of Southern California,United States,54.7,73.5,69.8,56.9,47.9,52.3
88,The Chinese University of Hong Kong,Hong Kong,54.5,79.5,70.3,87.6,41.5,49.4
89,Carnegie Mellon University,United States,54.4,95.1,68.4,82.6,40.3,45.3
90,University of North Carolina at Chapel Hill,United States,54.3,71.5,67.7,43.2,44.3,58.5
91,"Birkbeck, University of London",United Kingdom,54.2,82.0,65.2,81.1,43.2,47.6
=92,University of Illinois at Urbana-Champaign,United States,53.6,75.0,72.9,54.7,46.5,50.4
=92,University of Massachusetts,United States,53.6,68.9,70.4,52.0,49.7,50.3
94,University of Geneva,Switzerland,53.5,69.3,83.9,89.8,41.3,49.6
95,University of Cologne,Germany,53.4,63.5,89.7,72.6,50.8,45.3
96,Trinity College Dublin,Ireland,52.9,64.8,67.7,78.9,44.6,49.9
97,University of Hamburg,Germany,52.4,66.9,98.6,61.1,50.4,43.0
98,University of São Paulo,Brazil,52.3,47.3,88.0,35.0,52.4,54.9
99,Université de Montréal,Canada,52.2,73.1,69.9,85.4,39.5,48.2
100,Rutgers University – New Brunswick,United States,52.0,70.1,67.6,41.3,48.5,49.0
101–125,Aalto University,Finland,47.1–51.0,75.9,79.2,79.9,35.8,39.6
101–125,City University of Hong Kong,Hong Kong,47.1–51.0,76.4,99.9,97.3,29.8,38.6
101–125,Emory University,United States,47.1–51.0,67.1,67.9,54.5,36.1,50.9
101–125,Georgetown University,United States,47.1–51.0,72.4,66.8,37.0,38.9,46.4
101–125,Hebrew University of Jerusalem,Israel,47.1–51.0,67.3,68.7,53.6,46.1,43.7
101–125,Kyoto University,Japan,47.1–51.0,52.4,99.9,54.5,45.1,47.3
101–125,"Nanyang Technological University, Singapore",Singapore,47.1–51.0,86.0,90.7,81.2,38.3,35.5
101–125,Newcastle University,United Kingdom,47.1–51.0,74.5,62.8,79.9,38.3,42.8
101–125,Northwestern University,United States,47.1–51.0,78.6,67.8,50.1,38.5,46.9
101–125,Pompeu Fabra University,Spain,47.1–51.0,68.3,95.9,76.9,43.0,40.8
101–125,Queen Mary University of London,United Kingdom,47.1–51.0,69.6,67.8,78.2,45.9,37.1
101–125,Radboud University Nijmegen,Netherlands,47.1–51.0,71.7,69.3,68.6,45.9,40.2
101–125,Scuola Normale Superiore di Pisa,Italy,47.1–51.0,50.7,35.8,27.0,43.9,53.7
101–125,Shanghai Jiao Tong University,China,47.1–51.0,74.2,100.0,87.5,26.6,44.2
101–125,Stockholm University,Sweden,47.1–51.0,75.0,57.6,59.5,50.6,38.4
101–125,Technical University of Munich,Germany,47.1–51.0,91.3,100.0,82.5,35.1,38.0
101–125,The Hong Kong Polytechnic University,Hong Kong,47.1–51.0,83.8,89.4,98.7,33.0,33.2
101–125,Tongji University,China,47.1–51.0,62.3,85.3,87.4,40.9,44.3
101–125,University of Auckland,New Zealand,47.1–51.0,89.4,61.9,88.6,30.0,39.2
101–125,University of Bern,Switzerland,47.1–51.0,78.6,94.7,84.2,32.8,38.8
101–125,"University of California, Irvine",United States,47.1–51.0,86.7,68.3,61.7,38.2,44.4
101–125,University of Göttingen,Germany,47.1–51.0,57.6,67.7,67.7,49.1,45.5
101–125,University of Münster,Germany,47.1–51.0,67.6,76.7,56.9,47.5,43.3
101–125,University of Nottingham,United Kingdom,47.1–51.0,76.6,66.8,72.7,37.2,41.1
101–125,University of Reading,United Kingdom,47.1–51.0,79.1,50.1,82.6,35.4,44.4
101–125,UNSW Sydney,Australia,47.1–51.0,79.6,85.3,88.7,36.4,36.2
101–125,Vrije Universiteit Amsterdam,Netherlands,47.1–51.0,78.6,98.2,84.9,37.1,37.1
126–150,Aix-Marseille University,France,44.6–47.0,61.4,60.5,76.9,34.1,40.5
126–150,Boston University,United States,44.6–47.0,73.5,67.8,58.2,32.0,45.5
126–150,Ca’ Foscari University of Venice,Italy,44.6–47.0,49.7,64.2,57.7,43.3,41.4
126–150,Cardiff University,United Kingdom,44.6–47.0,71.6,67.9,72.4,35.1,40.0
126–150,Eindhoven University of Technology,Netherlands,44.6–47.0,79.3,99.9,94.3,29.5,36.0
126–150,Fudan University,China,44.6–47.0,70.1,74.6,76.1,28.8,45.8
126–150,Goethe University Frankfurt,Germany,44.6–47.0,57.8,78.9,63.5,43.7,40.2
126–150,Michigan State University,United States,44.6–47.0,86.9,65.6,61.6,28.2,44.1
126–150,Ohio State University (Main campus),United States,44.6–47.0,74.2,71.2,45.0,34.1,45.0
126–150,Penn State (Main campus),United States,44.6–47.0,77.8,67.8,47.6,36.7,37.4
126–150,Queen’s University Belfast,United Kingdom,44.6–47.0,80.2,57.1,89.1,29.1,35.7
126–150,The Hong Kong University of Science and Technology,Hong Kong,44.6–47.0,78.4,100.0,98.5,28.5,35.4
126–150,The University of Queensland,Australia,44.6–47.0,78.4,78.0,90.3,32.0,33.5
126–150,Université Paris Cité,France,44.6–47.0,59.7,68.8,80.4,38.5,40.5
126–150,Université Sorbonne Nouvelle,France,44.6–47.0,38.2,31.6,66.4,42.2,47.5
126–150,University of Antwerp,Belgium,44.6–47.0,75.7,99.1,62.1,34.4,36.4
126–150,University of Basel,Switzerland,44.6–47.0,70.9,99.9,91.7,29.1,37.3
126–150,"University of California, Davis",United States,44.6–47.0,71.1,68.7,52.8,30.8,44.3
126–150,University of Campinas,Brazil,44.6–47.0,40.9,89.3,33.6,43.9,49.9
126–150,University of Leicester,United Kingdom,44.6–47.0,80.2,96.3,74.2,29.7,41.4
126–150,University of Minnesota,United States,44.6–47.0,74.6,99.1,37.3,36.1,43.8
126–150,University of Padua,Italy,44.6–47.0,67.4,64.8,61.2,34.2,42.3
126–150,University of Southampton,United Kingdom,44.6–47.0,81.9,68.1,87.1,27.3,38.3
126–150,University of Virginia (Main campus),United States,44.6–47.0,63.1,77.6,49.2,43.0,40.0
151–175,Autonomous University of Madrid,Spain,42.7–44.5,56.5,52.5,54.9,33.2,47.4
151–175,Boston College,United States,42.7–44.5,63.4,27.6,54.0,32.8,47.4
151–175,Charles University,Czechia,42.7–44.5,51.4,67.1,54.3,38.6,43.8
151–175,Erasmus University Rotterdam,Netherlands,42.7–44.5,83.6,71.3,92.3,31.4,29.0
151–175,Georgia Institute of Technology,United States,42.7–44.5,76.3,74.5,81.1,30.7,32.1
151–175,"Goldsmiths, University of London",United Kingdom,42.7–44.5,75.8,54.5,77.3,32.5,36.5
151–175,HSE University,Russian Federation,42.7–44.5,63.5,86.4,38.5,35.7,42.1
151–175,Macquarie University,Australia,42.7–44.5,77.4,92.9,74.9,35.8,27.3
151–175,Nanjing University,China,42.7–44.5,62.6,96.2,89.3,23.7,40.6
151–175,Seoul National University,South Korea,42.7–44.5,53.0,84.4,63.0,31.2,43.5
151–175,Technical University of Berlin,Germany,42.7–44.5,76.3,100.0,74.2,29.4,34.7
151–175,University of Alberta,Canada,42.7–44.5,68.4,71.7,86.3,32.1,31.8
151–175,University of Arizona,United States,42.7–44.5,80.3,69.0,42.8,35.0,35.8
151–175,University of Bonn,Germany,42.7–44.5,57.7,64.3,60.2,36.4,40.6
151–175,University of Coimbra,Portugal,42.7–44.5,64.6,92.4,59.6,37.1,33.1
151–175,University of Gothenburg,Sweden,42.7–44.5,76.7,74.7,56.9,33.6,37.0
151–175,University of Granada,Spain,42.7–44.5,57.6,60.1,53.5,35.6,44.5
151–175,University of Konstanz,Germany,42.7–44.5,68.2,92.7,76.4,36.0,32.5
151–175,University of Lausanne,Switzerland,42.7–44.5,64.0,86.1,73.7,30.0,38.3
151–175,University of Liverpool,United Kingdom,42.7–44.5,74.6,63.5,77.1,30.0,34.3
151–175,"University of Maryland, College Park",United States,42.7–44.5,76.6,75.9,36.8,37.1,37.2
151–175,University of Potsdam,Germany,42.7–44.5,68.7,86.9,74.2,36.0,33.0
151–175,University of Warsaw,Poland,42.7–44.5,49.4,22.4,32.2,39.3,47.8
151–175,Zhejiang University,China,42.7–44.5,75.6,94.3,84.7,31.6,30.4
176–200,Arizona State University (Tempe),United States,41.4–42.5,78.9,67.2,49.8,27.3,39.1
176–200,Loughborough University,United Kingdom,41.4–42.5,73.8,63.4,84.2,28.5,32.1
176–200,National Autonomous University of Mexico,Mexico,41.4–42.5,41.8,84.4,57.4,41.2,36.7
176–200,Purdue University West Lafayette,United States,41.4–42.5,74.7,68.3,63.6,25.6,37.3
176–200,Rice University,United States,41.4–42.5,68.5,52.4,69.4,25.3,40.0
176–200,RMIT University,Australia,41.4–42.5,75.8,57.9,88.6,26.4,33.6
176–200,Tilburg University,Netherlands,41.4–42.5,81.9,97.8,84.4,26.5,27.2
176–200,Tomsk State University,Russian Federation,41.4–42.5,37.2,42.3,70.3,35.0,44.3
176–200,Université du Québec,Canada,41.4–42.5,58.3,67.6,75.1,34.7,34.9
176–200,Université Libre de Bruxelles,Belgium,41.4–42.5,57.6,64.2,76.7,33.5,34.8
176–200,University College Dublin,Ireland,41.4–42.5,69.7,65.8,78.2,35.0,29.3
176–200,University of Aberdeen,United Kingdom,41.4–42.5,67.6,67.9,84.9,29.1,34.8
176–200,University of Bordeaux,France,41.4–42.5,74.6,47.5,89.8,30.2,31.4
176–200,"University of California, Santa Cruz",United States,41.4–42.5,85.8,73.6,47.7,26.4,35.5
176–200,University of Connecticut,United States,41.4–42.5,82.1,65.4,59.7,24.4,37.7
176–200,University of Erlangen-Nuremberg,Germany,41.4–42.5,68.2,100.0,60.6,31.9,32.8
176–200,University of Fribourg,Switzerland,41.4–42.5,60.0,66.2,68.9,31.1,36.6
176–200,University of Hawai’i at Mānoa,United States,41.4–42.5,66.2,58.9,65.9,33.9,33.8
176–200,University of Lisbon,Portugal,41.4–42.5,59.9,78.8,57.4,34.0,38.2
176–200,University of Pisa,Italy,41.4–42.5,54.0,59.0,46.0,32.9,44.6
176–200,University of Sussex,United Kingdom,41.4–42.5,77.5,67.1,72.3,27.7,32.6
176–200,University of Tartu,Estonia,41.4–42.5,64.1,42.2,42.8,33.1,41.5
176–200,Vrije Universiteit Brussel,Belgium,41.4–42.5,79.9,78.9,75.9,29.8,30.0
176–200,Western University,Canada,41.4–42.5,75.8,91.8,88.7,23.5,33.9
176–200,Xi’an Jiaotong University,China,41.4–42.5,93.4,85.7,97.9,22.9,26.8
201–250,Dartmouth College,United States,37.1–41.3,65.3,67.6,48.0,20.8,40.1
201–250,Dublin City University,Ireland,37.1–41.3,85.5,68.2,62.8,26.7,26.0
201–250,École Normale Supérieure de Lyon,France,37.1–41.3,44.6,43.6,56.6,32.3,44.3
201–250,Friedrich Schiller University Jena,Germany,37.1–41.3,69.2,80.4,63.6,27.6,35.4
201–250,Hong Kong Baptist University,Hong Kong,37.1–41.3,73.1,64.2,81.9,24.6,24.3
201–250,Jagiellonian University,Poland,37.1–41.3,45.0,37.7,31.1,33.0,39.4
201–250,Johannes Gutenberg University of Mainz,Germany,37.1–41.3,61.2,68.5,61.8,29.8,36.4
201–250,Karlsruhe Institute of Technology,Germany,37.1–41.3,64.5,100.0,77.7,23.4,26.8
201–250,Korea Advanced Institute of Science and Technology (KAIST),South Korea,37.1–41.3,77.9,100.0,63.0,26.6,27.1
201–250,Middle East Technical University,Turkey,37.1–41.3,58.3,83.4,64.5,26.0,32.0
201–250,Norwegian University of Science and Technology,Norway,37.1–41.3,75.5,73.4,71.6,22.8,29.5
201–250,NOVA University of Lisbon,Portugal,37.1–41.3,57.5,37.6,59.3,30.4,34.2
201–250,Paris Nanterre University,France,37.1–41.3,49.8,37.8,71.8,31.1,42.1
201–250,Pontificia Universidad Católica de Chile,Chile,37.1–41.3,54.5,54.1,43.9,31.0,35.2
201–250,Queensland University of Technology,Australia,37.1–41.3,81.2,70.6,75.9,19.9,26.4
201–250,"Royal Holloway, University of London",United Kingdom,37.1–41.3,66.2,62.9,74.7,25.7,27.3
201–250,Ruhr University Bochum,Germany,37.1–41.3,69.6,76.7,54.2,33.4,29.0
201–250,Simon Fraser University,Canada,37.1–41.3,79.2,82.3,89.7,23.9,25.0
201–250,Stony Brook University,United States,37.1–41.3,73.2,67.6,68.5,19.2,36.1
201–250,Sungkyunkwan University (SKKU),South Korea,37.1–41.3,48.9,61.2,67.6,26.0,40.5
201–250,Tampere University,Finland,37.1–41.3,82.2,90.0,40.3,34.0,24.8
201–250,Tel Aviv University,Israel,37.1–41.3,62.9,67.8,54.9,33.5,33.2
201–250,Texas A&M University,United States,37.1–41.3,74.3,67.7,51.5,24.0,34.1
201–250,The University of Western Australia,Australia,37.1–41.3,73.5,97.6,83.3,24.4,24.4
201–250,Université Paris-Saclay,France,37.1–41.3,62.0,74.9,72.6,33.5,31.8
201–250,Universiti Kebangsaan Malaysia,Malaysia,37.1–41.3,64.3,55.2,69.8,23.7,32.0
201–250,University of Adelaide,Australia,37.1–41.3,70.4,80.7,82.7,24.1,29.8
201–250,University of Bath,United Kingdom,37.1–41.3,90.7,64.0,91.8,19.3,24.4
201–250,University of Bergen,Norway,37.1–41.3,76.7,74.7,76.8,28.1,27.0
201–250,University of Cape Town,South Africa,37.1–41.3,73.6,69.8,71.4,32.2,26.9
201–250,University of East Anglia,United Kingdom,37.1–41.3,73.4,64.1,71.3,25.4,30.7
201–250,University of Florence,Italy,37.1–41.3,53.9,82.6,56.7,28.0,35.8
201–250,University of Florida,United States,37.1–41.3,71.9,78.1,45.7,26.8,33.4
201–250,University of Graz,Austria,37.1–41.3,78.3,34.9,76.1,22.0,34.0
201–250,University of Innsbruck,Austria,37.1–41.3,66.6,35.5,83.9,21.6,34.6
201–250,University of Kiel,Germany,37.1–41.3,75.6,53.4,62.3,28.4,24.8
201–250,University of Liège,Belgium,37.1–41.3,59.0,67.9,67.7,28.3,29.0
201–250,University of Luxembourg,Luxembourg,37.1–41.3,72.1,62.6,89.9,23.7,30.0
201–250,University of Mannheim,Germany,37.1–41.3,85.0,92.0,55.4,25.7,26.8
201–250,University of Otago,New Zealand,37.1–41.3,70.8,69.7,75.4,23.7,28.6
201–250,University of Salamanca,Spain,37.1–41.3,52.6,37.2,52.0,32.8,41.7
201–250,University of Southern Denmark,Denmark,37.1–41.3,76.7,98.9,58.1,27.3,23.4
201–250,University of Surrey,United Kingdom,37.1–41.3,79.3,66.9,81.8,22.8,23.1
201–250,University of Technology Sydney,Australia,37.1–41.3,78.8,79.6,85.1,23.4,23.3
201–250,University of the Witwatersrand,South Africa,37.1–41.3,75.2,99.8,71.4,29.3,25.4
201–250,University of Würzburg,Germany,37.1–41.3,66.2,97.1,47.2,28.7,32.1
201–250,Ural Federal University,Russian Federation,37.1–41.3,44.4,58.7,67.2,30.3,34.1
201–250,Vanderbilt University,United States,37.1–41.3,72.3,67.7,60.2,25.2,34.6
201–250,Washington University in St Louis,United States,37.1–41.3,75.7,67.8,63.4,23.2,32.1
201–250,Wuhan University,China,37.1–41.3,71.1,69.0,63.7,16.9,35.8
251–300,Australian Catholic University,Australia,35.0–37.0,77.4,32.1,72.7,25.8,24.0
251–300,Bournemouth University,United Kingdom,35.0–37.0,76.2,54.6,81.1,15.8,27.3
251–300,Brunel University of London,United Kingdom,35.0–37.0,81.3,67.8,84.3,19.0,22.8
251–300,Chalmers University of Technology,Sweden,35.0–37.0,74.0,99.7,77.3,23.3,17.8
251–300,Curtin University,Australia,35.0–37.0,83.7,76.3,89.4,18.3,18.9
251–300,Heriot-Watt University,United Kingdom,35.0–37.0,79.3,73.0,97.4,16.4,23.8
251–300,Justus Liebig University Giessen,Germany,35.0–37.0,62.8,49.6,55.7,24.4,29.5
251–300,Kazan Federal University,Russian Federation,35.0–37.0,40.5,27.3,67.0,21.0,41.4
251–300,Koç University,Turkey,35.0–37.0,71.4,76.9,74.7,21.8,24.7
251–300,Linköping University,Sweden,35.0–37.0,77.6,100.0,70.3,21.5,21.8
251–300,Masaryk University,Czechia,35.0–37.0,58.4,30.5,59.5,26.9,29.0
251–300,McMaster University,Canada,35.0–37.0,70.0,79.9,76.4,23.6,25.1
251–300,Nagoya University,Japan,35.0–37.0,72.4,76.8,75.5,19.8,26.2
251–300,National Taiwan University (NTU),Taiwan,35.0–37.0,66.0,98.2,74.3,23.0,24.1
251–300,"Northeastern University, US",United States,35.0–37.0,85.0,68.1,64.7,18.1,27.4
251–300,Stellenbosch University,South Africa,35.0–37.0,65.8,76.8,44.0,26.5,28.1
251–300,Tohoku University,Japan,35.0–37.0,49.4,91.6,79.1,23.9,30.7
251–300,UiT The Arctic University of Norway,Norway,35.0–37.0,70.2,35.4,78.0,22.3,28.4
251–300,Université Grenoble Alpes,France,35.0–37.0,53.7,68.0,69.2,26.1,31.5
251–300,University of Bayreuth,Germany,35.0–37.0,58.0,74.2,68.9,24.5,31.3
251–300,University of Bremen,Germany,35.0–37.0,72.8,68.5,64.2,18.0,28.8
251–300,"University of California, Riverside",United States,35.0–37.0,70.7,42.7,53.2,21.3,32.0
251–300,University of Canberra,Australia,35.0–37.0,65.4,79.5,87.4,18.4,25.8
251–300,University of Colorado Boulder,United States,35.0–37.0,72.6,67.8,47.8,23.2,31.8
251–300,University of Essex,United Kingdom,35.0–37.0,73.8,67.4,86.5,19.2,27.1
251–300,University of Galway,Ireland,35.0–37.0,70.3,58.9,77.6,24.6,24.3
251–300,University of Jyväskylä,Finland,35.0–37.0,81.7,52.6,43.9,26.8,23.5
251–300,University of Kansas,United States,35.0–37.0,66.2,69.5,54.2,21.1,31.3
251–300,University of Kent,United Kingdom,35.0–37.0,66.4,47.8,76.3,19.9,31.5
251–300,University of Lille,France,35.0–37.0,51.1,50.1,69.1,27.1,32.2
251–300,University of Malaya,Malaysia,35.0–37.0,62.6,31.0,89.2,21.0,32.5
251–300,University of Milan,Italy,35.0–37.0,51.8,53.3,38.5,30.3,34.7
251–300,University of Navarra,Spain,35.0–37.0,56.3,26.1,58.4,22.1,37.1
251–300,University of Newcastle,Australia,35.0–37.0,69.3,44.4,77.8,20.3,26.8
251–300,University of Oregon,United States,35.0–37.0,72.4,66.5,32.5,24.9,29.7
251–300,University of Ottawa,Canada,35.0–37.0,66.3,66.7,69.7,28.4,22.1
251–300,University of Porto,Portugal,35.0–37.0,55.8,63.0,66.9,24.0,30.3
251–300,University of Rochester,United States,35.0–37.0,64.4,67.8,58.6,17.7,35.9
251–300,University of Siena,Italy,35.0–37.0,55.6,97.2,42.7,24.9,33.5
251–300,University of South Australia,Australia,35.0–37.0,79.0,85.3,86.6,20.1,19.1
251–300,University of Stirling,United Kingdom,35.0–37.0,73.9,40.3,78.7,20.3,25.4
251–300,University of Toulouse,France,35.0–37.0,56.8,68.8,71.3,26.8,25.3
251–300,University of Trento,Italy,35.0–37.0,69.5,84.5,59.5,22.9,25.0
251–300,University of Turin,Italy,35.0–37.0,55.2,65.5,33.5,31.1,32.0
251–300,University of Turku,Finland,35.0–37.0,70.9,67.3,42.5,25.0,29.0
251–300,University of Valencia,Spain,35.0–37.0,53.4,60.0,46.2,29.7,29.6
251–300,Victoria University of Wellington,New Zealand,35.0–37.0,71.9,43.6,76.9,23.3,25.0
251–300,Western Sydney University,Australia,35.0–37.0,75.0,48.1,82.0,23.1,22.8
251–300,Yonsei University (Seoul campus),South Korea,35.0–37.0,60.9,67.9,57.1,21.7,30.7
251–300,York University,Canada,35.0–37.0,69.5,79.6,58.2,24.6,27.3
301–400,Aalborg University,Denmark,30.5–34.9,70.4,90.5,58.1,25.5,18.1
301–400,Åbo Akademi University,Finland,30.5–34.9,64.1,62.7,59.3,20.2,24.9
301–400,"Adam Mickiewicz University, Poznań",Poland,30.5–34.9,54.5,32.5,34.3,31.5,25.6
301–400,Aston University,United Kingdom,30.5–34.9,81.6,60.5,93.4,14.4,21.5
301–400,Auckland University of Technology,New Zealand,30.5–34.9,90.3,27.0,88.3,12.4,17.7
301–400,Bangor University,United Kingdom,30.5–34.9,52.3,67.6,78.2,16.1,24.1
301–400,Bar-Ilan University,Israel,30.5–34.9,65.0,72.0,43.9,21.0,29.3
301–400,Baylor University,United States,30.5–34.9,70.1,55.6,29.8,15.2,29.5
301–400,Beijing Normal University,China,30.5–34.9,73.3,44.5,78.3,14.1,29.3
301–400,Brandeis University,United States,30.5–34.9,52.4,68.6,68.0,15.4,26.1
301–400,Carleton University,Canada,30.5–34.9,68.3,56.8,60.0,16.6,22.3
301–400,Carlos III University of Madrid,Spain,30.5–34.9,55.6,40.9,54.0,17.4,31.9
301–400,Case Western Reserve University,United States,30.5–34.9,71.7,67.7,52.3,13.1,29.0
301–400,Chulalongkorn University,Thailand,30.5–34.9,49.0,54.8,51.2,21.7,28.0
301–400,Chung-Ang University,South Korea,30.5–34.9,49.7,49.9,78.7,18.0,27.4
301–400,Concordia University,Canada,30.5–34.9,64.1,57.2,74.5,23.3,23.3
301–400,Deakin University,Australia,30.5–34.9,79.9,50.7,78.8,19.0,22.4
301–400,Eötvös Loránd University,Hungary,30.5–34.9,47.7,29.0,38.7,21.9,32.7
